Code,CanonicalValue,LegacyValues
F1201-3799,F1201-3799 - Latin America & Caribbean,F1201-3799 - Latin America / Spanish America|F1201-3799 - History of the Americas - Latin America/Spanish America|F1201-3799 - History of the Americas - Latin America / Spanish America
G,G - Geography: General & Atlases & Maps,G - Geography General / Atlases / Maps|G - Geography/Anthropology/Recreation - Geography (General)/Atlases/Maps
GA,GA - Mathematical Geography & Cartography,GA - Geography/Anthropology/Recreation - Mathematical geography/Cartography
GB,GB - Physical Geography,GB - Geography/Anthropology/Recreation - Physical Geography
GC,GC - Oceanography,GC - Geography/Anthropology/Recreation - Oceanography
GE,GE - Environmental Sciences,GE - Geography/Anthropology/Recreation - Environmental Sciences
GF,GF - Human Ecology & Anthropogeography,GF - Human Ecology / Anthropogeography|GF - Geography/Anthropology/Recreation - Human Ecology/Anthropogeography|GF - Geography/Anthropology/Recreation - Human Ecology / Anthropogeography
GN,GN - Anthropology,GN - Geography/Anthropology/Recreation - Anthropology
GR,GR - Folklore,GR - Geography/Anthropology/Recreation - Folklore
GT,GT - Manners & Customs,GT - Manners and Customs General|GT - Geography/Anthropology/Recreation - Manners and Customs (General)
GV,GV - Recreation & Leisure,GV - Recreation / Leisure|GV - Geography/Anthropology/Recreation - Recreation/Leisure
H,H - Social Sciences General,H - Social Sciences - Social Sciences (General)
HA,HA - Statistics,HA - Social Sciences - Statistics
HB,HB - Economic Theory & Demography,HB - Economic Theory / Demography|HB - Social Sciences - Economic Theory/Demography
HC,HC - Economic History and Conditions,HC - Social Sciences - Economic History and Conditions
HD,HD - Industries & Land Use & Labor,HD - Industries / Land Use / Labor|HD - Social Sciences - Industries/Land Use/Labor|HD - Social Sciences - Industries / Land Use / Labor
HE,HE - Transportation & Communications,HE - Transportation and Communications|HE - Social Sciences - Transportation and Communications
HF,HF - Commerce,HF - Social Sciences - Commerce
HG,HG - Finance,HG - Social Sciences - Finance
HJ,HJ - Public Finance,HJ - Social Sciences - Public Finance
HM,HM - Sociology: General,HM - Sociology General|HM - Social Sciences - Sociology (General)
HN,HN - Social History & Social Reform,HN - Social History and Conditions / Social Problems / Social Reform|HN - Social Sciences - Social History and Conditions/Social Problems/Social Reform
HQ,HQ - Family & Marriage & Women,HQ - The Family / Marriage / Women|HQ - Social Sciences - The Family/Marriage/Women
HS,HS - Societies & Organizations,HS - Societies / Secret / Benevolent / Etc|HS - Social Sciences - Societies: Secret/Benevolent/Etc
